Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,166,-91.5,0,top
C2,4.7u,C_0603_1608Metric,134,-91.5,180,top
C3,100p,C_0603_1608Metric,157.5,-93.5,0,top
C4,100p,C_0603_1608Metric,142.5,-91,180,top
C5,1u,C_0603_1608Metric,157.5,-86,0,top
R1,2.2k,R_0603_1608Metric,174,-99.5,-90,top
R2,2.2k,R_0603_1608Metric,126,-99.5,90,top
R3,1k,R_0603_1608Metric,157.5,-91,180,top
R4,1k,R_0603_1608Metric,142.5,-88.5,180,top
R5,100k,R_0603_1608Metric,157.5,-96,180,top
R6,100k,R_0603_1608Metric,142.5,-93.5,180,top
R7,10k,R_0603_1608Metric,145,-84,0,top
R8,10k,R_0603_1608Metric,157.5,-88.5,0,top
